interaction_type,has_open_tracking,has_click_tracking,content_type,time_quadrant,hour,minute,weekday,date,month,thread_length,thread_avg_reply_delay,thread_avg_receive_delay,identifier,used_tracking
RECEIVED,FALSE,FALSE,PROMOTIONS,2,11,35,Friday,30,10,1,0,0,e6ca72cddd77e2dfc9ef1d47ed743edb,1
SENT,FALSE,FALSE,UPDATES,4,18,33,Friday,30,10,1,0,0,e6ca72cddd77e2dfc9ef1d47ed743edb,1
RECEIVED,FALSE,FALSE,UPDATES,2,10,6,Friday,30,10,1,0,0,e6ca72cddd77e2dfc9ef1d47ed743edb,1
SENT,TRUE,FALSE,UPDATES,2,8,4,Friday,30,10,1,0,0,e6ca72cddd77e2dfc9ef1d47ed743edb,1
SENT,FALSE,FALSE,UPDATES,3,14,53,Friday,30,10,1,0,0,e6ca72cddd77e2dfc9ef1d47ed743edb,1
RECEIVED,FALSE,FALSE,UPDATES,4,18,49,Friday,30,10,1,0,0,e6ca72cddd77e2dfc9ef1d47ed743edb,1
RECEIVED,FALSE,FALSE,UPDATES,2,11,42,Friday,30,10,1,0,0,e6ca72cddd77e2dfc9ef1d47ed743edb,1
RECEIVED,FALSE,FALSE,UPDATES,2,11,42,Friday,30,10,1,0,0,e6ca72cddd77e2dfc9ef1d47ed743edb,1
SENT,FALSE,FALSE,UPDATES,3,16,51,Friday,30,10,1,0,0,e6ca72cddd77e2dfc9ef1d47ed743edb,1
SENT,FALSE,FALSE,UPDATES,3,16,50,Friday,30,10,1,0,0,e6ca72cddd77e2dfc9ef1d47ed743edb,1
RECEIVED,FALSE,FALSE,UPDATES,2,11,15,Friday,30,10,1,0,0,e6ca72cddd77e2dfc9ef1d47ed743edb,1
RECEIVED,FALSE,FALSE,PROMOTIONS,2,6,9,Friday,30,10,1,0,0,e6ca72cddd77e2dfc9ef1d47ed743edb,1
RECEIVED,FALSE,FALSE,UPDATES,2,9,21,Friday,30,10,1,0,0,e6ca72cddd77e2dfc9ef1d47ed743edb,1
RECEIVED,FALSE,FALSE,UPDATES,2,8,4,Friday,30,10,1,0,0,e6ca72cddd77e2dfc9ef1d47ed743edb,1
RECEIVED,TRUE,TRUE,PROMOTIONS,2,7,52,Friday,30,10,1,0,0,e6ca72cddd77e2dfc9ef1d47ed743edb,1
RECEIVED,FALSE,FALSE,UPDATES,1,4,47,Friday,30,10,1,0,0,e6ca72cddd77e2dfc9ef1d47ed743edb,1
RECEIVED,FALSE,FALSE,UPDATES,1,4,30,Friday,30,10,1,0,0,e6ca72cddd77e2dfc9ef1d47ed743edb,1
RECEIVED,TRUE,TRUE,PROMOTIONS,1,3,20,Friday,30,10,1,0,0,e6ca72cddd77e2dfc9ef1d47ed743edb,1
RECEIVED,FALSE,FALSE,UPDATES,1,2,59,Friday,30,10,2,0,653,e6ca72cddd77e2dfc9ef1d47ed743edb,1
RECEIVED,FALSE,FALSE,UPDATES,1,2,1,Friday,30,10,1,0,0,e6ca72cddd77e2dfc9ef1d47ed743edb,1
RECEIVED,FALSE,FALSE,UPDATES,4,18,44,Thursday,29,10,1,0,0,e6ca72cddd77e2dfc9ef1d47ed743edb,1
SENT,FALSE,FALSE,UPDATES,3,14,29,Thursday,29,10,1,0,0,e6ca72cddd77e2dfc9ef1d47ed743edb,1
RECEIVED,FALSE,FALSE,SOCIAL,4,21,14,Thursday,29,10,1,0,0,e6ca72cddd77e2dfc9ef1d47ed743edb,1
RECEIVED,FALSE,FALSE,UPDATES,4,20,14,Thursday,29,10,1,0,0,e6ca72cddd77e2dfc9ef1d47ed743edb,1
SENT,FALSE,TRUE,UPDATES,4,18,45,Thursday,29,10,1,0,0,e6ca72cddd77e2dfc9ef1d47ed743edb,1
RECEIVED,FALSE,FALSE,UPDATES,3,16,6,Thursday,29,10,2,0,653,e6ca72cddd77e2dfc9ef1d47ed743edb,1
SENT,FALSE,FALSE,UPDATES,3,15,26,Thursday,29,10,1,0,0,e6ca72cddd77e2dfc9ef1d47ed743edb,1
SENT,FALSE,FALSE,UPDATES,3,15,5,Thursday,29,10,1,0,0,e6ca72cddd77e2dfc9ef1d47ed743edb,1
RECEIVED,FALSE,FALSE,UPDATES,4,19,8,Thursday,29,10,1,0,0,e6ca72cddd77e2dfc9ef1d47ed743edb,1
RECEIVED,TRUE,TRUE,PROMOTIONS,3,13,32,Thursday,29,10,1,0,0,e6ca72cddd77e2dfc9ef1d47ed743edb,1
RECEIVED,FALSE,FALSE,UPDATES,4,21,27,Thursday,29,10,1,0,0,e6ca72cddd77e2dfc9ef1d47ed743edb,1
SENT,FALSE,FALSE,UPDATES,2,10,23,Thursday,29,10,2,258,0,e6ca72cddd77e2dfc9ef1d47ed743edb,1
RECEIVED,FALSE,FALSE,UPDATES,2,9,34,Thursday,29,10,1,0,0,e6ca72cddd77e2dfc9ef1d47ed743edb,1
RECEIVED,FALSE,FALSE,UPDATES,2,9,19,Thursday,29,10,1,0,0,e6ca72cddd77e2dfc9ef1d47ed743edb,1
RECEIVED,TRUE,FALSE,PROMOTIONS,3,14,47,Thursday,29,10,1,0,0,e6ca72cddd77e2dfc9ef1d47ed743edb,1
RECEIVED,FALSE,FALSE,UPDATES,2,7,44,Thursday,29,10,1,0,0,e6ca72cddd77e2dfc9ef1d47ed743edb,1
RECEIVED,FALSE,FALSE,UPDATES,2,7,43,Thursday,29,10,1,0,0,e6ca72cddd77e2dfc9ef1d47ed743edb,1
RECEIVED,FALSE,FALSE,UPDATES,2,7,39,Thursday,29,10,1,0,0,e6ca72cddd77e2dfc9ef1d47ed743edb,1
RECEIVED,FALSE,FALSE,UPDATES,2,7,39,Thursday,29,10,1,0,0,e6ca72cddd77e2dfc9ef1d47ed743edb,1
RECEIVED,FALSE,FALSE,UPDATES,2,7,39,Thursday,29,10,1,0,0,e6ca72cddd77e2dfc9ef1d47ed743edb,1
RECEIVED,TRUE,FALSE,PROMOTIONS,2,6,46,Thursday,29,10,1,0,0,e6ca72cddd77e2dfc9ef1d47ed743edb,1
SENT,FALSE,FALSE,UPDATES,2,6,5,Thursday,29,10,2,258,0,e6ca72cddd77e2dfc9ef1d47ed743edb,1
RECEIVED,FALSE,FALSE,UPDATES,1,4,37,Thursday,29,10,1,0,0,e6ca72cddd77e2dfc9ef1d47ed743edb,1
RECEIVED,FALSE,FALSE,UPDATES,1,4,4,Thursday,29,10,1,0,0,e6ca72cddd77e2dfc9ef1d47ed743edb,1
RECEIVED,FALSE,FALSE,UPDATES,1,4,4,Thursday,29,10,1,0,0,e6ca72cddd77e2dfc9ef1d47ed743edb,1
RECEIVED,FALSE,FALSE,UPDATES,1,4,4,Thursday,29,10,1,0,0,e6ca72cddd77e2dfc9ef1d47ed743edb,1
RECEIVED,FALSE,FALSE,UPDATES,1,4,4,Thursday,29,10,1,0,0,e6ca72cddd77e2dfc9ef1d47ed743edb,1
RECEIVED,FALSE,FALSE,UPDATES,1,4,3,Thursday,29,10,1,0,0,e6ca72cddd77e2dfc9ef1d47ed743edb,1
RECEIVED,FALSE,FALSE,UPDATES,1,4,3,Thursday,29,10,1,0,0,e6ca72cddd77e2dfc9ef1d47ed743edb,1
SENT,FALSE,FALSE,UPDATES,2,9,9,Thursday,29,10,1,0,0,e6ca72cddd77e2dfc9ef1d47ed743edb,1
SENT,FALSE,FALSE,UPDATES,2,9,9,Thursday,29,10,1,0,0,e6ca72cddd77e2dfc9ef1d47ed743edb,1
RECEIVED,FALSE,FALSE,UPDATES,1,3,34,Thursday,29,10,1,0,0,e6ca72cddd77e2dfc9ef1d47ed743edb,1
RECEIVED,FALSE,FALSE,PROMOTIONS,4,23,19,Wednesday,28,10,1,0,0,e6ca72cddd77e2dfc9ef1d47ed743edb,1
RECEIVED,FALSE,FALSE,UPDATES,4,20,24,Wednesday,28,10,1,0,0,e6ca72cddd77e2dfc9ef1d47ed743edb,1
RECEIVED,FALSE,FALSE,UPDATES,4,20,24,Wednesday,28,10,1,0,0,e6ca72cddd77e2dfc9ef1d47ed743edb,1
RECEIVED,FALSE,FALSE,UPDATES,4,20,17,Wednesday,28,10,1,0,0,e6ca72cddd77e2dfc9ef1d47ed743edb,1
RECEIVED,FALSE,FALSE,UPDATES,4,19,54,Wednesday,28,10,1,0,0,e6ca72cddd77e2dfc9ef1d47ed743edb,1
RECEIVED,FALSE,FALSE,UPDATES,4,19,44,Wednesday,28,10,1,0,0,e6ca72cddd77e2dfc9ef1d47ed743edb,1
RECEIVED,FALSE,FALSE,UPDATES,4,19,44,Wednesday,28,10,1,0,0,e6ca72cddd77e2dfc9ef1d47ed743edb,1
RECEIVED,FALSE,FALSE,UPDATES,4,19,44,Wednesday,28,10,1,0,0,e6ca72cddd77e2dfc9ef1d47ed743edb,1
RECEIVED,FALSE,FALSE,UPDATES,4,19,43,Wednesday,28,10,1,0,0,e6ca72cddd77e2dfc9ef1d47ed743edb,1
RECEIVED,FALSE,FALSE,UPDATES,4,19,42,Wednesday,28,10,1,0,0,e6ca72cddd77e2dfc9ef1d47ed743edb,1
SENT,FALSE,FALSE,UPDATES,1,1,12,Thursday,29,10,3,2.5,0,e6ca72cddd77e2dfc9ef1d47ed743edb,1
SENT,FALSE,FALSE,UPDATES,1,1,7,Thursday,29,10,3,2.5,0,e6ca72cddd77e2dfc9ef1d47ed743edb,1
SENT,FALSE,FALSE,UPDATES,1,1,6,Thursday,29,10,3,2.5,0,e6ca72cddd77e2dfc9ef1d47ed743edb,1
RECEIVED,FALSE,FALSE,UPDATES,3,17,38,Wednesday,28,10,1,0,0,e6ca72cddd77e2dfc9ef1d47ed743edb,1
RECEIVED,FALSE,FALSE,PROMOTIONS,3,13,50,Wednesday,28,10,1,0,0,e6ca72cddd77e2dfc9ef1d47ed743edb,1
RECEIVED,TRUE,FALSE,PROMOTIONS,3,13,31,Wednesday,28,10,1,0,0,e6ca72cddd77e2dfc9ef1d47ed743edb,1
RECEIVED,FALSE,FALSE,PROMOTIONS,3,12,27,Wednesday,28,10,1,0,0,e6ca72cddd77e2dfc9ef1d47ed743edb,1
RECEIVED,FALSE,FALSE,PERSONAL,4,18,5,Wednesday,28,10,41,5090.913043,743.9411765,e6ca72cddd77e2dfc9ef1d47ed743edb,1
RECEIVED,TRUE,TRUE,PROMOTIONS,3,12,4,Wednesday,28,10,2,0,60,e6ca72cddd77e2dfc9ef1d47ed743edb,1
RECEIVED,TRUE,TRUE,PROMOTIONS,2,11,3,Wednesday,28,10,2,0,60,e6ca72cddd77e2dfc9ef1d47ed743edb,1
SENT,FALSE,FALSE,UPDATES,2,9,29,Wednesday,28,10,1,0,0,e6ca72cddd77e2dfc9ef1d47ed743edb,1
SENT,FALSE,FALSE,UPDATES,2,7,40,Wednesday,28,10,1,0,0,e6ca72cddd77e2dfc9ef1d47ed743edb,1
SENT,FALSE,FALSE,PERSONAL,2,9,55,Wednesday,28,10,41,5090.913043,743.9411765,e6ca72cddd77e2dfc9ef1d47ed743edb,1
SENT,TRUE,FALSE,PROMOTIONS,1,4,11,Wednesday,28,10,1,0,0,e6ca72cddd77e2dfc9ef1d47ed743edb,1
RECEIVED,FALSE,FALSE,UPDATES,4,22,32,Tuesday,27,10,1,0,0,e6ca72cddd77e2dfc9ef1d47ed743edb,1
SENT,FALSE,FALSE,UPDATES,3,13,52,Tuesday,27,10,1,0,0,e6ca72cddd77e2dfc9ef1d47ed743edb,1
RECEIVED,FALSE,FALSE,UPDATES,3,13,11,Tuesday,27,10,1,0,0,e6ca72cddd77e2dfc9ef1d47ed743edb,1
RECEIVED,FALSE,FALSE,UPDATES,3,13,11,Tuesday,27,10,1,0,0,e6ca72cddd77e2dfc9ef1d47ed743edb,1
RECEIVED,FALSE,FALSE,UPDATES,2,9,19,Tuesday,27,10,1,0,0,e6ca72cddd77e2dfc9ef1d47ed743edb,1
RECEIVED,TRUE,FALSE,UPDATES,1,4,26,Tuesday,27,10,1,0,0,e6ca72cddd77e2dfc9ef1d47ed743edb,1
RECEIVED,FALSE,FALSE,UPDATES,1,2,43,Tuesday,27,10,1,0,0,e6ca72cddd77e2dfc9ef1d47ed743edb,1
RECEIVED,FALSE,FALSE,UPDATES,4,21,4,Monday,26,10,1,0,0,e6ca72cddd77e2dfc9ef1d47ed743edb,1
RECEIVED,FALSE,FALSE,UPDATES,4,18,57,Monday,26,10,1,0,0,e6ca72cddd77e2dfc9ef1d47ed743edb,1
SENT,FALSE,FALSE,UPDATES,1,0,21,Tuesday,27,10,2,420,0,e6ca72cddd77e2dfc9ef1d47ed743edb,1
RECEIVED,FALSE,FALSE,UPDATES,4,18,45,Monday,26,10,1,0,0,e6ca72cddd77e2dfc9ef1d47ed743edb,1
RECEIVED,TRUE,FALSE,UPDATES,3,17,49,Monday,26,10,1,0,0,e6ca72cddd77e2dfc9ef1d47ed743edb,1
RECEIVED,FALSE,FALSE,UPDATES,2,11,38,Monday,26,10,1,0,0,e6ca72cddd77e2dfc9ef1d47ed743edb,1
RECEIVED,FALSE,FALSE,UPDATES,3,16,3,Monday,26,10,1,0,0,e6ca72cddd77e2dfc9ef1d47ed743edb,1
SENT,FALSE,FALSE,FORUMS,4,20,37,Monday,26,10,1,0,0,e6ca72cddd77e2dfc9ef1d47ed743edb,1
SENT,FALSE,FALSE,UPDATES,3,13,31,Monday,26,10,1,0,0,e6ca72cddd77e2dfc9ef1d47ed743edb,1
SENT,FALSE,FALSE,UPDATES,3,17,20,Monday,26,10,2,420,0,e6ca72cddd77e2dfc9ef1d47ed743edb,1
RECEIVED,FALSE,FALSE,UPDATES,2,10,32,Monday,26,10,1,0,0,e6ca72cddd77e2dfc9ef1d47ed743edb,1
RECEIVED,FALSE,FALSE,UPDATES,2,10,32,Monday,26,10,1,0,0,e6ca72cddd77e2dfc9ef1d47ed743edb,1
SENT,FALSE,FALSE,UPDATES,2,7,14,Monday,26,10,1,0,0,e6ca72cddd77e2dfc9ef1d47ed743edb,1
SENT,TRUE,FALSE,PROMOTIONS,1,5,34,Monday,26,10,1,0,0,e6ca72cddd77e2dfc9ef1d47ed743edb,1
RECEIVED,FALSE,FALSE,UPDATES,1,3,17,Monday,26,10,2,0,0,e6ca72cddd77e2dfc9ef1d47ed743edb,1
RECEIVED,FALSE,FALSE,UPDATES,1,3,16,Monday,26,10,2,0,0,e6ca72cddd77e2dfc9ef1d47ed743edb,1
RECEIVED,FALSE,FALSE,UPDATES,1,2,9,Monday,26,10,1,0,0,e6ca72cddd77e2dfc9ef1d47ed743edb,1
RECEIVED,TRUE,FALSE,PROMOTIONS,4,22,37,Sunday,25,10,1,0,0,e6ca72cddd77e2dfc9ef1d47ed743edb,1
RECEIVED,FALSE,FALSE,UPDATES,3,12,9,Sunday,25,10,2,0,99,e6ca72cddd77e2dfc9ef1d47ed743edb,1
RECEIVED,FALSE,FALSE,UPDATES,3,12,9,Sunday,25,10,1,0,0,e6ca72cddd77e2dfc9ef1d47ed743edb,1
SENT,FALSE,FALSE,UPDATES,3,16,28,Sunday,25,10,3,181,0,e6ca72cddd77e2dfc9ef1d47ed743edb,1
SENT,FALSE,FALSE,UPDATES,3,16,11,Sunday,25,10,3,181,0,e6ca72cddd77e2dfc9ef1d47ed743edb,1
SENT,FALSE,FALSE,UPDATES,3,16,10,Sunday,25,10,1,0,0,e6ca72cddd77e2dfc9ef1d47ed743edb,1
RECEIVED,FALSE,FALSE,UPDATES,2,10,29,Sunday,25,10,2,0,99,e6ca72cddd77e2dfc9ef1d47ed743edb,1
RECEIVED,FALSE,FALSE,UPDATES,2,10,29,Sunday,25,10,1,0,0,e6ca72cddd77e2dfc9ef1d47ed743edb,1
